Course ID,Course Title,Course Name,Course Section Code,Course Department,Instructor Full Name,UGrad,Grad,NonDegree,XReg,VUS,Employee,Withdraw,Total
126314,AFRAMER 90R.O,Wolof,1,African & African Amer Studies,"Mugane,John M",0,2,0,0,0,0,0,2
126316,AFRAMER 90R.Q,Zulu,1,African & African Amer Studies,"Mugane,John M",46,1,0,1,0,0,0,48
127929,AFRAMER 90R.U,Sudanese Arabic,1,African & African Amer Studies,"Mugane,John M",3,1,0,1,0,0,0,5
127934,AFRAMER 90R.V,Pulaar,1,African & African Amer Studies,"Mugane,John M",0,1,0,0,0,0,0,1
107773,AFRAMER 90R.X,Setswana,1,African & African Amer Studies,"Mugane,John M",0,1,0,0,0,0,0,1
107790,AFRAMER 90R.Y,Kikongo,1,African & African Amer Studies,"Mugane,John M",0,1,0,0,0,0,0,1
109290,AFRAMER 90R.Z,Lingala,1,African & African Amer Studies,"Mugane,John M",1,0,0,0,0,0,0,1
110605,AFRAMER 91R,Supervised Reading and Researc,1,African & African Amer Studies,"Comaroff,Jean",1,1,0,0,0,0,0,2
123590,AFRAMER 97,Sophomore Tutorial,1,African & African Amer Studies,"Micconi,Giovanna",4,0,0,0,0,0,0,4
159794,AFRAMER 99B,Senior Thesis Workshop,1,African & African Amer Studies,"Comaroff,Jean",1,0,0,0,0,0,0,1
123459,AKKAD 153,Old Akkadian,1,Near Eastern Languages & Civ,"Steinkeller,Piotr",0,2,0,0,0,0,0,2
111348,AKKAD 300,Akkadian Language & Literature,2,Near Eastern Languages & Civ,"Gabriel,Gosta Ingvar",0,2,0,0,0,0,0,2
159801,AKKAD AB,Introductory Akkadian,1,Near Eastern Languages & Civ,"Barjamovic,Gojko",1,3,0,0,0,0,0,4
110946,AMSTDIES 398,Reading and Research,8,American Studies,"Carpio,Glenda",0,1,0,0,0,0,0,1
110946,AMSTDIES 398,Reading and Research,13,American Studies,"Higginbotham,Evelyn Brooks",0,1,0,0,0,0,0,1
110946,AMSTDIES 398,Reading and Research,15,American Studies,"Johnson,Walter",0,1,0,0,0,0,0,1
110946,AMSTDIES 398,Reading and Research,27,American Studies,"Rivera Rivera,Mayra",0,1,0,0,0,0,0,1
110946,AMSTDIES 398,Reading and Research,28,American Studies,"Roberts,Jennifer L.",0,1,0,0,0,0,0,1
124363,AMSTDIES 399,Doctoral Dissertatn Direction,1,American Studies,"Beckert,Sven",0,2,0,0,0,0,0,2
124363,AMSTDIES 399,Doctoral Dissertatn Direction,2,American Studies,"Bernstein,Robin",0,2,0,0,0,0,0,2
124363,AMSTDIES 399,Doctoral Dissertatn Direction,3,American Studies,"Carpio,Glenda",0,1,0,0,0,0,0,1
124363,AMSTDIES 399,Doctoral Dissertatn Direction,4,American Studies,"Chaplin,Joyce E.",0,4,0,0,0,0,0,4
124363,AMSTDIES 399,Doctoral Dissertatn Direction,5,American Studies,"Claybaugh,Amanda",0,1,0,0,0,0,0,1
124363,AMSTDIES 399,Doctoral Dissertatn Direction,6,American Studies,"Cott,Nancy F.",0,1,0,0,0,0,0,1
124363,AMSTDIES 399,Doctoral Dissertatn Direction,8,American Studies,"Jewett,Andrew",0,1,0,0,0,0,0,1
124363,AMSTDIES 399,Doctoral Dissertatn Direction,9,American Studies,"Johnson,Walter",0,1,0,0,0,0,0,1
124363,AMSTDIES 399,Doctoral Dissertatn Direction,12,American Studies,"Roberts,Jennifer L.",0,1,0,0,0,0,0,1
124363,AMSTDIES 399,Doctoral Dissertatn Direction,14,American Studies,"Stauffer,John",0,2,0,0,0,0,0,2
124363,AMSTDIES 399,Doctoral Dissertatn Direction,15,American Studies,"Ulrich,Laurel",0,2,0,0,0,0,0,2
120250,ANE 100,Hist of the Ancient Near East,1,Near Eastern Languages & Civ,"Barjamovic,Gojko",6,5,0,0,0,0,0,11
126065,ANE 120B,Hebrew Bible/Old Testament 2,1,Near Eastern Languages & Civ,"Teeter,Andrew",0,0,0,1,0,0,0,1
110807,ANE 330,Reading/Rsch: Biblical Study,3,Near Eastern Languages & Civ,"Teeter,Andrew",0,1,0,0,0,0,0,1
111192,ANTHRO 1060,Archaeological Science,1,Anthropology,"Meadow,Richard H.",1,0,0,0,1,0,0,2
125588,ANTHRO 1080,American History Before Columb,1,Anthropology,"Liebmann,Matthew",80,0,0,0,0,0,0,80
113901,ANTHRO 1095,Urban Revolutions,1,Anthropology,"Ur,Jason Alik",50,0,0,0,0,0,0,50
123195,ANTHRO 1131,Archaeology of Harvard Yard II,1,Anthropology,"Capone,Patricia",18,0,0,0,0,0,0,18
120579,ANTHRO 1150,Ancient Landscapes,1,Anthropology,"Ur,Jason Alik",1,5,0,0,0,0,0,6
128061,ANTHRO 1168,Maya Glyphs,1,Anthropology,"Carter,Nicholas",7,1,0,1,0,0,0,9
204447,ANTHRO 1235,African Roots: Origins and,SEM,Anthropology,"Alex,Bridget",5,2,0,0,0,0,0,7
123339,ANTHRO 1600,Ground the Global: Introductio,1,Anthropology,"Bernstein,Anya",19,0,0,3,1,0,0,23
120570,ANTHRO 1645,Exploring Culture Through Film,1,Anthropology,"Yezbick,Julia Helene",3,1,0,2,0,0,0,6
204435,ANTHRO 1653,Language and Politics,1,Anthropology,"Scott,Stephen Kingsley",6,1,0,0,0,0,0,7
203531,ANTHRO 1785,Law and Violence in Latin Amer,SEM,Anthropology,"Jusionyte,Ieva",15,3,0,0,0,0,0,18
203631,ANTHRO 1840,Nonfiction Video Production,1,Anthropology,"Yezbick,Julia Helene",1,4,0,5,0,0,0,10
203532,ANTHRO 1955,Technology and Politics in Nat,1,Anthropology,"Ozden-Schilling,Thomas",8,1,0,3,0,0,0,12
204442,ANTHRO 1957,Laboratory Lives: Scientific,1,Anthropology,"Scott,Stephen Kingsley",5,0,0,0,0,0,0,5
204446,ANTHRO 1976,"Schools in Culture, Culture in",1,Anthropology,"Malik,Bilal",14,0,0,0,0,0,0,14
118218,ANTHRO 1995,Food Culture and Society,1,Anthropology,"Bestor,Theodore C",16,1,1,0,0,0,0,18
121158,ANTHRO 2010BR,Materials in Ancient Societies,1,Anthropology,"Meadow,Richard H.",0,1,0,0,0,0,0,1
128017,ANTHRO 2177,South American Archaeology,1,Anthropology,"Urton,Gary",2,3,0,0,0,0,0,5
160955,ANTHRO 2211,Archaeology and Heritage,1,Anthropology,"Fash,William",3,2,0,0,0,0,0,5
119372,ANTHRO 2240,Economic Archaeology: Producti,1,Anthropology,"Flad,Rowan K.",0,7,0,1,0,0,0,8
108949,ANTHRO 2628,Ethnograph Methods Anthro Rr,1,Anthropology,"Bestor,Theodore C",0,10,0,1,0,0,0,11
144623,ANTHRO 2650B,Hist & Theory of Social Anthro,1,Anthropology,"Subramanian,Ajantha",1,13,0,0,0,0,0,14
122439,ANTHRO 2690,Middle East Ethnography,1,Anthropology,"Caton,Steven C.",7,10,0,1,0,0,0,18
203533,ANTHRO 2786,Subjectivity: Linking the Psyc,1,Anthropology,"Good,Byron",4,5,0,1,0,0,0,10
160441,ANTHRO 2796,Medical Anthropology: Advanced,1,Anthropology,"Kleinman,Arthur",11,7,0,2,0,0,0,20
119385,ANTHRO 2855,Deep China,1,Anthropology,"Kleinman,Arthur",8,3,0,4,1,0,0,16
113022,ANTHRO 3000,Reading Course,4,Anthropology,"Comaroff,Jean",0,2,0,0,0,0,0,2
113022,ANTHRO 3000,Reading Course,6,Anthropology,"Comaroff,John",0,1,0,0,0,0,0,1
113022,ANTHRO 3000,Reading Course,11,Anthropology,"Kleinman,Arthur",0,1,0,0,0,0,0,1
113022,ANTHRO 3000,Reading Course,12,Anthropology,"Liebmann,Matthew",0,1,0,0,0,0,0,1
113022,ANTHRO 3000,Reading Course,17,Anthropology,"Subramanian,Ajantha",0,1,0,0,0,0,0,1
116603,ANTHRO 3001,Reading for General Examinatio,1,Anthropology,"Bernstein,Anya",0,1,0,0,0,0,0,1
116603,ANTHRO 3001,Reading for General Examinatio,4,Anthropology,"Comaroff,Jean",0,1,0,0,0,0,0,1
116603,ANTHRO 3001,Reading for General Examinatio,17,Anthropology,"Ralph,Laurence A",0,1,0,0,0,0,0,1
116603,ANTHRO 3001,Reading for General Examinatio,19,Anthropology,"Subramanian,Ajantha",0,3,0,0,0,0,0,3
119079,ANTHRO 3400,Reading and Research,2,Anthropology,"Bestor,Theodore C",0,1,0,0,0,0,0,1
119079,ANTHRO 3400,Reading and Research,3,Anthropology,"Caton,Steven C.",0,1,0,0,0,0,0,1
119079,ANTHRO 3400,Reading and Research,4,Anthropology,"Comaroff,Jean",0,1,0,0,0,0,0,1
119079,ANTHRO 3400,Reading and Research,5,Anthropology,"Comaroff,John",0,1,0,0,0,0,0,1
119079,ANTHRO 3400,Reading and Research,12,Anthropology,"Meadow,Richard H.",0,1,0,0,0,0,0,1
119079,ANTHRO 3400,Reading and Research,16,Anthropology,"Subramanian,Ajantha",0,1,0,0,0,0,0,1
111058,ANTHRO 3500,Direction of Doctoral,18,Anthropology,"Meadow,Richard H.",0,1,0,0,0,0,0,1
123453,ANTHRO 91ZR,Supervised Reading & Research,1,Anthropology,"Rossoukh,Ramyar Dagoberto",7,0,0,0,0,0,0,7
113567,ANTHRO 97X,Soph Tutorial in Archaeology,1,Anthropology,"Liebmann,Matthew",5,0,0,0,0,0,0,5
143028,ANTHRO 97Z,Sophomore Tutorial Social Anth,1,Anthropology,"Caton,Steven C.",20,0,0,0,0,0,0,20
113211,ANTHRO 98XB,Junior Tutorial in Archaeology,1,Anthropology,"Flad,Rowan K.",1,0,0,0,0,0,0,1
107933,ANTHRO 98ZB,Junior Tutorial for Social Ant,1,Anthropology,"Rossoukh,Ramyar Dagoberto",6,0,0,0,0,0,0,6
159858,ANTHRO 99ZB,"Thesis Tutor,Soc Anthro - SrYr",1,Anthropology,"Rossoukh,Ramyar Dagoberto",9,0,0,0,0,0,0,9
203547,APCOMP 209B,Data Science 2,1,Applied Computation,"Pfister,Hanspeter",1,18,1,3,0,0,3,26
156202,APCOMP 297R,CSE Capstone Project,1,Applied Computation,"Protopapas,Pavlos",1,33,1,0,0,0,0,35
109613,APCOMP 299R,Special Topics Applied Comp,1,Applied Computation,"Protopapas,Pavlos",1,5,0,0,0,0,0,6
156535,APCOMP 302,Special Topics in CSE,1,Applied Computation,"Weinstock,Daniel S",0,7,0,0,0,0,0,7
118482,APMTH 107,Graph Theory and Combinatorics,1,Applied Mathematics,"Vadhan,Salil P.",24,0,0,0,0,0,0,24
121989,APMTH 108,Nonlinear Dynamical Systems,1,Applied Mathematics,"Iams,Sarah M",24,0,0,0,1,0,0,25
120198,APMTH 111,Intro to Scientific Computing,1,Applied Mathematics,"Fai,Thomas",6,0,0,1,0,0,0,7
118021,APMTH 115,Mathematical Modeling,1,Applied Mathematics,"Mahadevan,Lakshminarayanan",26,1,0,0,0,0,0,27
113876,APMTH 120,Applicable Linear Algebra,1,Applied Mathematics,"Tziperman,Eli",103,3,0,2,0,0,0,108
110333,APMTH 141R,Computational Music Theory,1,Applied Mathematics,"Chen,Elizabeth R.",30,1,0,0,0,0,0,31
